blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""080930002002""","""Denver-Aurora-Lakewood, CO""",1,1585,816,104366.43,38,44,45,12,15,14,26,30,30,10.47,0.08,2.38,2,2,26792,24173,26509,0,0,0,17370,15509,16345,13586,12100,12606,3776,3405,3734,8,3,5,7,3,4,0.1,1.4,0.32,0.01,1160,95,1332,81,994,2,4875,643,,643,78,22
"""080930004001""","""Denver-Aurora-Lakewood, CO""",1,1058,581,420671.11,53,62,62,25,31,31,28,31,32,9.21,0.01,2.53,2,2,26913,24141,26660,1,0,1,18242,16297,17191,14435,12889,13425,3793,3401,3756,14,7,10,12,6,9,0,1.1,0.04,0,831,95,979,80,556,3,5089,1370,1370,,90,10
"""080930005002""","""Denver-Aurora-Lakewood, CO""",1,881,420,182885.02,52,61,61,24,31,30,28,31,32,9.05,0.02,2.51,2,2,26922,24226,26670,1,1,1,18118,16196,17072,14306,12772,13301,3794,3413,3757,19,12,15,16,10,12,0,1.1,0.03,0,706,98,777,79,813,3,5479,1335,1335,,87,13
"""080930005003""","""Denver-Aurora-Lakewood, CO""",1,957,463,215121.07,49,57,57,21,26,25,28,31,32,9.74,0.02,2.53,2,2,26872,24034,26647,1,1,1,18259,16278,17222,14448,12877,13449,3787,3386,3754,24,15,19,20,13,17,0,0.9,0.03,0,546,96,611,78,503,4,4490,1140,1140,,97,3
"""080930001002""","""Denver-Aurora-Lakewood, CO""",1,1629,638,16595,55,65,65,29,36,35,26,29,30,11.32,0.44,2.33,2,2,26586,23740,26315,0,0,0,17041,15017,16052,13290,11673,12344,3747,3344,3707,4,0,1,3,0,1,0.1,1.8,0.29,0.04,2019,100,2195,82,182,9,2835,1570,1570,,95,5
"""080930005001""","""Denver-Aurora-Lakewood, CO""",1,564,329,114810.45,,,,,,,27,30,31,9.31,0.03,2.45,2,2,26730,23971,26480,1,1,1,17783,15850,16751,13998,12463,13007,3767,3377,3730,17,10,13,15,8,11,0.1,1.3,0.18,0,817,92,912,79,447,3,4612,,,,88,12
"""080930003002""","""Denver-Aurora-Lakewood, CO""",1,783,320,20235.95,51,60,60,25,32,31,26,29,30,,,2.31,2,2,26438,23805,26171,1,1,1,16944,15058,15935,13201,11693,12235,3726,3353,3687,17,11,13,14,9,11,0.4,0.9,0.09,0.02,1065,92,903,79,337,5,4032,1387,1518,875,80,20
"""080930001003""","""Denver-Aurora-Lakewood, CO""",1,1713,747,95181.45,53,63,62,27,33,33,26,29,30,10.04,0.08,2.34,2,2,26616,24029,26330,0,0,0,17131,15275,16107,13372,11887,12392,3751,3385,3709,8,4,5,7,3,5,0.4,1.1,0.32,0.01,1051,92,1261,81,514,3,3222,1461,1461,,75,25
"""080770013013""","""Grand Junction, CO""",1,2591,1077,1247.39,39,45,37,15,18,13,24,26,23,7.55,6.52,1.67,2,2,20773,18380,21775,0,0,0,11999,10349,12523,9066,7753,9448,2926,2590,3068,7,6,8,11,10,12,6.9,2.6,2.8,0.86,6781,41,7866,87,16,61,1307,606,,606,49,51
"""080770008003""","""Grand Junction, CO""",1,4567,1179,2899.61,60,71,56,34,43,31,26,28,25,10.11,4.11,1.81,2,2,21555,19352,22494,0,0,0,12866,11090,13433,9829,8361,10264,3037,2727,3169,0,2,0,0,4,0,4.6,3.6,1.95,0.41,10589,79,16527,89,20,46,1498,1409,1468,1299,65,35
"""080770015021""","""Grand Junction, CO""",1,3027,1157,124810.54,63,75,59,33,41,30,30,34,29,10.72,0.1,2.11,2,2,24406,21948,25415,2,2,2,14949,13269,15424,11482,10148,11813,3438,3093,3580,30,28,31,48,46,50,1.1,0.9,0.23,0.01,392,74,420,77,430,3,5088,1352,1519,898,73,27
"""080770019001""","""Grand Junction, CO""",1,2668,1086,936705.67,74,88,69,39,49,36,35,39,33,10.89,0.01,2.5,2,3,25465,22760,26555,1,1,1,17203,15389,17682,13601,12170,13923,3587,3207,3741,15,12,17,25,20,28,0,0.2,0.33,0,809,88,523,78,2532,1,10983,1618,1682,888,92,8
"""080799736001""",,1,733,368,560472.22,65,77,61,33,41,29,32,36,32,8.84,0.01,2.28,2,2,21088,18945,26168,2,2,2,15399,13837,17289,12398,11138,13564,2971,2670,3686,30,29,39,26,24,33,0,0.9,0.78,0,256,90,288,75,1306,1,5355,1315,1388,761,88,12
"""080810006001""","""Craig, CO""",1,718,276,2209584.49,51,61,49,18,23,18,33,38,31,9.97,0,2.43,2,2,25452,22945,25414,2,2,3,16880,15805,16897,13249,12529,13271,3585,3232,3580,45,43,46,39,37,40,0.2,1,0.58,0,223,73,267,75,2210,1,9312,789,871,564,73,27
"""080810006002""","""Craig, CO""",1,815,303,722586.35,71,86,68,37,46,35,34,39,32,10.96,0,2.51,2,3,26224,23554,26194,2,2,2,17402,16218,17429,13673,12869,13704,3694,3318,3690,34,31,35,29,26,30,0,0.8,0.09,0,304,86,343,76,1235,1,8280,1590,1519,2191,89,11
"""080810003001""","""Craig, CO""",1,1075,496,69931.07,61,73,58,30,38,29,31,35,29,10.32,0.07,2.22,2,2,25724,23111,25686,1,1,1,15710,14504,15727,12061,11226,12083,3624,3256,3618,25,22,26,22,19,22,0.9,0.9,0.24,0.01,562,76,586,78,372,7,4069,1290,1451,698,79,21
"""080839696003""",,1,1755,576,19363.59,62,73,52,30,37,24,32,36,28,10.46,0.31,1.96,2,2,23394,20886,25019,2,2,2,14021,12380,14925,10691,9404,11364,3296,2943,3524,35,33,37,29,28,31,1.9,0.8,0.33,0.03,527,65,430,77,215,17,3369,1084,1108,1008,76,24
"""080839692001""",,1,1215,577,196580.04,70,82,58,34,43,28,36,40,30,8.89,0.03,2.22,2,2,24245,21739,25844,2,2,2,15555,13860,16424,12100,10758,12740,3415,3063,3641,40,39,43,34,33,36,0.1,1.1,0.08,0,256,83,271,75,954,2,5750,1237,1284,950,86,14
"""080839692002""",,1,1606,615,117796.81,65,77,54,31,38,25,35,39,30,10.45,0.05,2.14,2,2,24148,21820,25696,2,2,2,15079,13446,15953,11636,10329,12292,3402,3075,3620,41,42,42,35,36,36,0.3,1.1,0.07,0.01,263,86,286,75,775,5,5371,1109,1172,914,75,25
"""080839691001""",,1,430,183,93035.42,75,89,62,40,50,33,35,39,30,10.17,0.02,2.15,2,2,23943,21663,25485,2,2,2,15110,13508,15979,11698,10414,12349,3373,3053,3590,40,41,40,34,35,34,0.7,0.7,0.38,0,295,81,314,76,655,4,5931,1464,1464,,69,31
