GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,NAME_E,AF2AE001,AF2AE002,AF2AE003,AF2AE004,AF2AE005,AF2AE006,AF2AE007,AF2AE008,AF2AE009,AF2AE010,AF2AE011,AF2AE012,AF2AE013,AF2AE014,AF2AE015,AF2AE016,AF2AE017,AF2AE018,AF2AE019,AF2AE020,AF2AE021,AF2AE022,AF2AE023,AF2AE024,AF2AE025,AF2AE026,AF2AE027,AF2AE028,AF2AE029,AF2AE030,AF2AE031,AF2AE032,AF2AE033,AF2AE034,AF2AE035,AF2AE036,AF2AE037,AF2AE038,AF2AE039,AF2AE040,AF2AE041,AF2AE042,AF2AE043,AF2AE044,AF2AE045,AF2AE046,AF2AE047,AF2AE048,AF2AE049
G08000100078011,2012-2016,Colorado,8,Adams County,1,7801,"Block Group 1, Census Tract 78.01, Adams County, Colorado",1894,840,63,64,42,71,32,0,51,7,103,65,39,74,66,57,19,0,29,9,9,32,8,0,0,1054,148,85,106,103,44,0,11,71,21,54,60,53,95,62,40,0,28,18,7,25,23,0,0
G08000100078012,2012-2016,Colorado,8,Adams County,1,7801,"Block Group 2, Census Tract 78.01, Adams County, Colorado",2480,1278,120,102,50,15,17,24,24,13,218,133,215,58,90,68,54,0,28,12,37,0,0,0,0,1202,132,70,166,67,75,41,21,48,42,92,60,38,164,50,28,21,12,9,25,9,32,0,0
G08000100078021,2012-2016,Colorado,8,Adams County,1,7802,"Block Group 1, Census Tract 78.02, Adams County, Colorado",1601,758,109,107,31,26,54,35,40,16,16,58,14,82,63,15,30,0,16,0,17,16,0,13,0,843,41,63,87,35,18,86,13,20,73,54,63,65,56,25,34,0,26,34,12,13,13,6,6
G08000100078022,2012-2016,Colorado,8,Adams County,1,7802,"Block Group 2, Census Tract 78.02, Adams County, Colorado",1239,631,16,88,66,16,0,19,0,29,57,11,107,83,37,60,24,0,12,0,0,0,6,0,0,608,55,73,72,46,29,9,23,20,28,45,41,66,32,14,10,20,12,0,0,6,0,7,0
G08000100078023,2012-2016,Colorado,8,Adams County,1,7802,"Block Group 3, Census Tract 78.02, Adams County, Colorado",1656,757,57,19,62,77,24,10,0,33,118,75,41,88,78,28,40,0,0,0,0,0,7,0,0,899,59,95,137,30,70,0,24,27,138,46,38,92,88,33,0,8,0,0,14,0,0,0,0
G08000100079001,2012-2016,Colorado,8,Adams County,1,7900,"Block Group 1, Census Tract 79, Adams County, Colorado",1961,938,66,113,61,9,17,19,0,69,112,111,77,129,23,35,10,6,36,0,9,0,0,36,0,1023,76,112,35,23,4,27,20,125,132,85,64,21,120,26,48,10,36,10,13,28,8,0,0
G08000100079002,2012-2016,Colorado,8,Adams County,1,7900,"Block Group 2, Census Tract 79, Adams County, Colorado",699,412,28,10,10,0,0,0,0,0,0,83,88,116,51,8,18,0,0,0,0,0,0,0,0,287,50,21,14,0,0,0,0,18,28,47,15,10,13,30,17,15,0,0,0,0,9,0,0
G08000100079003,2012-2016,Colorado,8,Adams County,1,7900,"Block Group 3, Census Tract 79, Adams County, Colorado",920,551,29,32,77,35,0,0,9,54,45,38,22,32,20,64,28,23,17,16,0,0,0,0,10,369,21,70,21,7,0,11,0,14,49,32,30,6,46,6,17,6,5,0,13,6,9,0,0
G08000100079004,2012-2016,Colorado,8,Adams County,1,7900,"Block Group 4, Census Tract 79, Adams County, Colorado",2051,966,81,89,107,52,16,2,0,115,44,71,90,75,116,46,52,0,0,0,0,0,0,10,0,1085,137,87,156,61,15,43,33,59,46,59,67,161,38,22,56,0,23,0,0,0,0,22,0
G08000100080001,2012-2016,Colorado,8,Adams County,1,8000,"Block Group 1, Census Tract 80, Adams County, Colorado",591,293,0,11,0,0,82,0,0,8,15,23,11,8,37,0,58,6,6,0,0,28,0,0,0,298,0,8,20,0,86,0,0,0,22,0,0,46,44,12,47,0,6,0,0,7,0,0,0
G08000100080002,2012-2016,Colorado,8,Adams County,1,8000,"Block Group 2, Census Tract 80, Adams County, Colorado",1126,494,13,8,8,53,11,5,0,14,37,33,54,14,31,81,19,9,59,14,10,8,0,13,0,632,143,64,36,48,0,0,6,32,60,15,8,53,37,81,0,1,0,0,0,39,0,1,8
G08000100080003,2012-2016,Colorado,8,Adams County,1,8000,"Block Group 3, Census Tract 80, Adams County, Colorado",1038,450,46,51,59,31,0,0,4,16,50,26,45,0,20,27,22,19,0,26,8,0,0,0,0,588,105,63,76,0,0,22,0,49,67,30,49,11,44,10,16,0,0,0,16,21,0,9,0
G08000100080004,2012-2016,Colorado,8,Adams County,1,8000,"Block Group 4, Census Tract 80, Adams County, Colorado",883,538,53,65,15,47,0,0,15,0,43,15,56,0,21,3,0,99,44,0,21,41,0,0,0,345,75,0,13,41,26,0,0,0,44,4,29,10,2,3,14,26,0,36,0,14,0,0,8
G08000100080005,2012-2016,Colorado,8,Adams County,1,8000,"Block Group 5, Census Tract 80, Adams County, Colorado",1296,701,62,108,45,55,53,4,0,5,40,12,87,40,76,59,13,0,17,0,0,0,14,4,7,595,24,77,44,29,0,22,0,38,137,42,9,18,62,30,13,18,0,24,0,8,0,0,0
G08000100080006,2012-2016,Colorado,8,Adams County,1,8000,"Block Group 6, Census Tract 80, Adams County, Colorado",1289,663,72,83,35,0,0,0,1,95,65,19,55,32,31,83,24,0,5,11,0,0,52,0,0,626,10,60,105,79,0,0,11,8,24,52,62,13,58,20,54,0,14,13,0,11,20,12,0
G08000100081001,2012-2016,Colorado,8,Adams County,1,8100,"Block Group 1, Census Tract 81, Adams County, Colorado",1343,590,7,0,14,0,13,10,0,59,140,99,12,31,16,23,13,4,0,14,18,31,18,12,56,753,17,19,0,6,0,19,0,174,234,56,28,28,16,7,37,12,0,0,4,52,12,4,28
G08000100082001,2012-2016,Colorado,8,Adams County,1,8200,"Block Group 1, Census Tract 82, Adams County, Colorado",2428,1144,58,150,77,48,32,60,0,57,124,83,35,46,103,43,65,52,12,11,18,35,25,0,10,1284,146,156,117,39,49,14,28,120,60,103,27,82,77,79,54,12,11,8,18,6,32,36,10
G08000100082002,2012-2016,Colorado,8,Adams County,1,8200,"Block Group 2, Census Tract 82, Adams County, Colorado",2091,947,20,137,59,15,48,6,11,0,72,117,47,60,69,68,33,40,8,12,26,13,40,25,21,1144,107,69,104,90,14,0,21,0,68,128,71,19,47,76,91,23,21,0,47,23,47,31,47
G08000100082003,2012-2016,Colorado,8,Adams County,1,8200,"Block Group 3, Census Tract 82, Adams County, Colorado",1010,543,19,65,0,3,8,0,0,66,61,118,27,78,16,24,9,0,0,0,5,9,12,23,0,467,31,11,21,17,37,0,0,28,86,32,32,20,31,13,0,19,23,0,0,19,31,0,16
G08000100083081,2012-2016,Colorado,8,Adams County,1,8308,"Block Group 1, Census Tract 83.08, Adams County, Colorado",1117,513,12,56,52,23,52,10,19,0,0,0,49,33,20,31,53,16,16,13,8,21,15,8,6,604,71,8,47,34,18,0,22,32,0,58,23,14,59,66,33,7,18,6,26,34,17,11,0
G08000100083082,2012-2016,Colorado,8,Adams County,1,8308,"Block Group 2, Census Tract 83.08, Adams County, Colorado",1739,923,48,0,194,26,21,0,0,36,150,67,54,75,57,61,75,0,12,0,26,21,0,0,0,816,36,76,119,12,13,0,0,11,54,114,23,40,45,83,88,31,10,7,33,14,0,7,0
G08000100083083,2012-2016,Colorado,8,Adams County,1,8308,"Block Group 3, Census Tract 83.08, Adams County, Colorado",2590,1258,167,153,59,74,16,23,0,129,47,71,150,11,118,92,31,0,37,0,7,43,10,12,8,1332,127,151,114,46,64,19,49,27,110,77,137,66,89,64,23,7,7,32,60,14,12,8,29
G08000100083091,2012-2016,Colorado,8,Adams County,1,8309,"Block Group 1, Census Tract 83.09, Adams County, Colorado",154,56,0,0,15,0,0,0,0,17,0,0,0,16,0,0,0,0,0,0,0,0,0,0,8,98,17,16,0,15,15,0,0,0,0,0,15,0,15,0,0,0,0,5,0,0,0,0,0
G08000100083092,2012-2016,Colorado,8,Adams County,1,8309,"Block Group 2, Census Tract 83.09, Adams County, Colorado",1925,1033,136,147,57,38,42,0,41,28,21,70,86,128,70,66,11,45,0,0,5,28,14,0,0,892,60,114,72,41,43,0,6,0,98,22,117,92,42,33,27,10,21,4,32,16,28,10,4
G08000100083093,2012-2016,Colorado,8,Adams County,1,8309,"Block Group 3, Census Tract 83.09, Adams County, Colorado",1724,907,83,92,110,44,50,49,0,83,33,32,25,132,13,70,71,5,5,0,5,0,0,5,0,817,81,83,66,48,42,0,0,55,27,83,109,34,56,78,15,0,18,5,13,4,0,0,0
G08000100083531,2012-2016,Colorado,8,Adams County,1,8353,"Block Group 1, Census Tract 83.53, Adams County, Colorado",59,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,15,0,0,0,0,0
G08000100083532,2012-2016,Colorado,8,Adams County,1,8353,"Block Group 2, Census Tract 83.53, Adams County, Colorado",2563,1108,91,231,59,137,8,23,8,0,93,29,45,42,60,98,91,14,14,0,38,27,0,0,0,1455,176,82,171,15,15,7,0,102,84,60,152,88,155,134,64,14,23,46,0,11,14,13,29
G08000100083533,2012-2016,Colorado,8,Adams County,1,8353,"Block Group 3, Census Tract 83.53, Adams County, Colorado",1023,590,0,41,33,6,21,0,17,8,0,125,70,122,31,32,44,0,19,0,0,7,0,0,14,433,28,51,0,0,15,0,0,53,0,54,19,39,53,0,36,0,20,0,0,30,21,14,0
G08000100083534,2012-2016,Colorado,8,Adams County,1,8353,"Block Group 4, Census Tract 83.53, Adams County, Colorado",2052,1069,73,84,55,81,8,15,14,58,153,86,0,114,73,106,50,14,41,0,0,0,15,29,0,983,33,92,120,40,8,48,0,84,97,88,72,53,83,41,70,0,17,37,0,0,0,0,0
G08000100083535,2012-2016,Colorado,8,Adams County,1,8353,"Block Group 5, Census Tract 83.53, Adams County, Colorado",889,399,11,0,23,0,0,14,14,13,79,0,14,46,18,80,23,28,22,0,0,14,0,0,0,490,0,0,24,23,0,11,0,60,22,61,45,45,56,18,55,18,0,0,15,0,0,15,22
G08000100084011,2012-2016,Colorado,8,Adams County,1,8401,"Block Group 1, Census Tract 84.01, Adams County, Colorado",2529,1135,22,124,86,21,7,10,9,22,124,100,51,102,94,126,42,19,41,42,34,42,8,9,0,1394,64,168,135,61,37,25,10,24,107,31,83,127,89,141,74,48,36,25,38,44,18,0,9
G08000100084012,2012-2016,Colorado,8,Adams County,1,8401,"Block Group 2, Census Tract 84.01, Adams County, Colorado",1878,1038,32,63,84,74,27,10,0,23,36,62,111,50,82,128,92,54,38,5,16,29,16,0,6,840,35,69,47,17,39,13,5,39,47,56,40,71,55,50,36,60,23,32,11,63,21,6,5
G08000100084021,2012-2016,Colorado,8,Adams County,1,8402,"Block Group 1, Census Tract 84.02, Adams County, Colorado",3024,1535,113,109,120,93,21,0,43,47,53,61,78,92,149,87,161,27,92,51,66,37,23,12,0,1489,75,102,130,90,15,13,10,69,26,111,96,69,107,100,213,62,55,47,50,7,6,0,36
G08000100084022,2012-2016,Colorado,8,Adams County,1,8402,"Block Group 2, Census Tract 84.02, Adams County, Colorado",1691,778,68,70,49,42,9,0,31,0,28,87,53,54,50,28,36,48,51,0,29,35,10,0,0,913,61,97,76,62,27,0,12,19,81,20,56,66,69,28,97,0,39,0,59,9,22,0,13
G08000100085051,2012-2016,Colorado,8,Adams County,1,8505,"Block Group 1, Census Tract 85.05, Adams County, Colorado",884,490,0,0,0,0,0,0,0,21,33,55,60,24,17,56,84,15,0,0,29,16,47,33,0,394,0,0,17,16,19,0,0,0,17,23,40,0,0,74,0,0,0,0,29,48,32,48,31
G08000100085052,2012-2016,Colorado,8,Adams County,1,8505,"Block Group 2, Census Tract 85.05, Adams County, Colorado",1078,583,39,114,54,0,13,0,0,10,20,110,0,21,0,49,97,0,40,0,0,0,0,0,16,495,27,54,11,36,0,30,0,0,41,13,0,33,26,37,103,0,0,48,0,0,21,15,0
G08000100085053,2012-2016,Colorado,8,Adams County,1,8505,"Block Group 3, Census Tract 85.05, Adams County, Colorado",1647,867,198,134,39,0,0,22,0,0,97,55,23,52,56,38,105,0,0,0,0,16,32,0,0,780,17,51,52,32,42,20,18,48,55,65,41,33,89,60,31,23,26,0,16,32,29,0,0
G08000100085054,2012-2016,Colorado,8,Adams County,1,8505,"Block Group 4, Census Tract 85.05, Adams County, Colorado",1255,633,41,23,68,15,0,0,0,31,87,92,32,15,48,18,56,0,59,0,0,17,14,17,0,622,18,21,0,12,11,0,0,75,60,63,15,82,43,18,40,16,37,16,18,0,46,15,16
G08000100085055,2012-2016,Colorado,8,Adams County,1,8505,"Block Group 5, Census Tract 85.05, Adams County, Colorado",972,524,0,50,14,0,15,0,0,0,18,43,51,0,88,39,50,19,0,18,70,0,16,33,0,448,91,36,0,0,0,0,0,0,17,0,19,52,19,14,35,20,71,0,0,29,45,0,0
G08000100085056,2012-2016,Colorado,8,Adams County,1,8505,"Block Group 6, Census Tract 85.05, Adams County, Colorado",1068,471,18,37,54,0,0,0,0,36,22,60,46,0,43,83,0,18,15,0,20,19,0,0,0,597,0,76,0,0,0,0,0,92,54,107,29,17,41,109,0,21,0,0,20,0,0,31,0
G08000100085061,2012-2016,Colorado,8,Adams County,1,8506,"Block Group 1, Census Tract 85.06, Adams County, Colorado",1427,825,21,120,0,0,0,0,39,24,21,89,101,10,79,29,141,31,53,15,0,32,0,20,0,602,0,25,69,35,0,0,0,65,50,80,44,0,97,16,54,0,15,15,17,20,0,0,0
G08000100085062,2012-2016,Colorado,8,Adams County,1,8506,"Block Group 2, Census Tract 85.06, Adams County, Colorado",1047,488,37,78,0,0,0,0,0,0,112,24,104,0,0,0,70,39,0,0,12,0,12,0,0,559,41,0,15,42,42,48,14,33,64,49,51,0,13,63,58,0,0,0,0,0,12,14,0
G08000100085063,2012-2016,Colorado,8,Adams County,1,8506,"Block Group 3, Census Tract 85.06, Adams County, Colorado",3310,1666,137,140,120,96,29,105,45,113,254,95,59,161,113,81,13,0,12,34,13,13,0,33,0,1644,131,116,144,40,21,27,0,63,288,88,155,77,87,72,94,34,0,24,42,82,59,0,0
G08000100085064,2012-2016,Colorado,8,Adams County,1,8506,"Block Group 4, Census Tract 85.06, Adams County, Colorado",581,228,0,0,0,0,38,0,0,5,0,0,0,0,47,4,4,9,0,0,4,4,5,35,73,353,0,0,0,0,0,0,0,0,0,0,0,41,4,4,5,4,9,3,11,16,117,41,98
G08000100085071,2012-2016,Colorado,8,Adams County,1,8507,"Block Group 1, Census Tract 85.07, Adams County, Colorado",2204,1152,81,45,69,27,81,0,83,53,36,58,54,97,112,74,58,18,18,0,81,17,18,56,16,1052,57,119,96,0,51,29,0,24,50,58,119,25,49,62,36,0,64,49,73,59,14,18,0
G08000100085072,2012-2016,Colorado,8,Adams County,1,8507,"Block Group 2, Census Tract 85.07, Adams County, Colorado",1364,558,39,69,71,0,36,0,16,16,35,37,18,20,0,65,55,0,18,20,17,0,0,8,18,806,21,33,34,21,0,45,0,128,34,75,120,68,31,0,54,55,19,17,0,13,8,30,0
G08000100085073,2012-2016,Colorado,8,Adams County,1,8507,"Block Group 3, Census Tract 85.07, Adams County, Colorado",974,508,45,0,94,141,0,0,0,0,19,31,53,29,25,48,0,0,0,0,0,7,16,0,0,466,0,87,52,0,40,46,0,0,15,63,18,30,0,0,61,24,0,0,0,0,16,0,14
G08000100085074,2012-2016,Colorado,8,Adams County,1,8507,"Block Group 4, Census Tract 85.07, Adams County, Colorado",1061,540,13,27,0,99,25,22,0,0,58,0,32,64,45,31,49,35,0,0,0,17,23,0,0,521,0,14,53,26,17,0,0,46,0,57,38,32,45,48,71,0,21,0,19,34,0,0,0
G08000100085075,2012-2016,Colorado,8,Adams County,1,8507,"Block Group 5, Census Tract 85.07, Adams County, Colorado",1399,663,22,114,0,0,0,25,0,61,14,94,50,14,46,34,0,57,0,0,46,0,52,19,15,736,38,71,141,0,0,0,0,0,71,24,44,31,64,11,102,0,25,0,0,35,47,0,32
G08000100085081,2012-2016,Colorado,8,Adams County,1,8508,"Block Group 1, Census Tract 85.08, Adams County, Colorado",977,530,32,18,40,42,22,0,0,34,38,7,18,10,41,76,30,0,9,27,25,34,9,9,9,447,18,9,0,0,0,0,0,0,39,12,50,22,95,17,50,0,29,16,22,28,32,8,0
G08000100085082,2012-2016,Colorado,8,Adams County,1,8508,"Block Group 2, Census Tract 85.08, Adams County, Colorado",2702,1326,39,113,183,60,35,0,2,80,39,210,138,76,95,76,111,8,37,17,7,0,0,0,0,1376,107,156,162,49,11,0,0,43,116,143,155,67,86,80,117,9,27,22,8,8,0,0,10
G08000100085083,2012-2016,Colorado,8,Adams County,1,8508,"Block Group 3, Census Tract 85.08, Adams County, Colorado",2137,1079,116,94,62,38,57,0,0,0,143,85,67,132,19,69,69,0,54,0,47,17,0,10,0,1058,103,112,42,97,37,12,0,16,63,55,96,104,25,82,41,10,65,28,15,13,18,24,0
G08000100085231,2012-2016,Colorado,8,Adams County,1,8523,"Block Group 1, Census Tract 85.23, Adams County, Colorado",303,219,0,0,0,55,31,0,0,0,0,0,0,0,0,11,38,34,0,14,18,18,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,14,14,0,0,14,0,0
G08000100085232,2012-2016,Colorado,8,Adams County,1,8523,"Block Group 2, Census Tract 85.23, Adams County, Colorado",4143,2303,93,137,181,74,48,57,47,18,158,95,96,181,121,264,207,44,178,135,32,53,15,13,56,1840,125,106,133,6,13,0,0,13,39,56,242,104,150,237,205,61,43,51,70,56,19,25,86
G08000100085233,2012-2016,Colorado,8,Adams County,1,8523,"Block Group 3, Census Tract 85.23, Adams County, Colorado",3174,1533,141,140,162,38,14,0,16,72,133,197,155,87,57,135,53,16,38,9,20,13,37,0,0,1641,81,139,83,103,80,36,19,44,210,141,94,68,206,122,110,0,43,16,0,23,9,0,14
G08000100085234,2012-2016,Colorado,8,Adams County,1,8523,"Block Group 4, Census Tract 85.23, Adams County, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G08000100085241,2012-2016,Colorado,8,Adams County,1,8524,"Block Group 1, Census Tract 85.24, Adams County, Colorado",2041,1015,52,154,78,17,31,27,23,0,92,84,104,66,64,35,63,38,34,11,42,0,0,0,0,1026,53,114,75,34,80,0,0,23,31,91,116,179,72,33,48,33,12,16,16,0,0,0,0
G08000100085242,2012-2016,Colorado,8,Adams County,1,8524,"Block Group 2, Census Tract 85.24, Adams County, Colorado",1354,680,20,129,39,64,18,0,26,16,42,17,35,36,60,89,16,44,0,12,17,0,0,0,0,674,34,33,16,17,0,17,0,30,0,54,58,133,126,18,80,12,10,17,0,11,0,0,8
G08000100085243,2012-2016,Colorado,8,Adams County,1,8524,"Block Group 3, Census Tract 85.24, Adams County, Colorado",1397,794,33,68,87,19,40,14,24,11,76,101,0,41,50,8,177,0,0,30,15,0,0,0,0,603,55,0,18,17,0,9,89,14,55,73,31,52,58,41,53,0,15,23,0,0,0,0,0
G08000100085244,2012-2016,Colorado,8,Adams County,1,8524,"Block Group 4, Census Tract 85.24, Adams County, Colorado",1510,710,15,86,76,40,0,21,0,0,15,0,20,178,45,27,43,0,25,26,17,46,17,13,0,800,0,66,128,38,0,22,13,31,30,0,96,90,40,48,31,28,57,17,13,52,0,0,0
G08000100085245,2012-2016,Colorado,8,Adams County,1,8524,"Block Group 5, Census Tract 85.24, Adams County, Colorado",1802,963,164,155,86,64,0,0,0,0,0,80,55,71,98,31,44,18,15,0,27,0,55,0,0,839,37,102,31,40,31,0,0,56,99,102,36,56,77,66,62,10,0,17,0,17,0,0,0
G08000100085261,2012-2016,Colorado,8,Adams County,1,8526,"Block Group 1, Census Tract 85.26, Adams County, Colorado",1481,680,72,72,27,12,0,0,14,14,24,99,0,26,37,145,56,0,24,11,26,0,0,0,21,801,26,40,51,34,0,17,0,57,123,96,0,14,98,119,42,10,23,33,0,18,0,0,0
G08000100085262,2012-2016,Colorado,8,Adams County,1,8526,"Block Group 2, Census Tract 85.26, Adams County, Colorado",1569,970,40,47,179,110,61,0,0,29,0,13,127,76,52,59,34,35,0,0,0,31,33,44,0,599,13,40,56,0,0,0,60,14,0,69,14,88,75,28,0,23,24,0,0,64,11,20,0
G08000100085263,2012-2016,Colorado,8,Adams County,1,8526,"Block Group 3, Census Tract 85.26, Adams County, Colorado",1283,692,14,24,114,19,0,0,0,74,122,59,64,12,42,83,0,0,15,20,20,0,0,10,0,591,13,59,28,0,0,0,0,31,36,40,50,23,72,84,60,0,0,0,32,0,41,0,22
G08000100085264,2012-2016,Colorado,8,Adams County,1,8526,"Block Group 4, Census Tract 85.26, Adams County, Colorado",918,461,16,12,67,79,0,0,0,17,26,37,12,27,22,36,57,0,53,0,0,0,0,0,0,457,71,0,11,9,0,0,0,53,11,32,26,24,22,110,39,22,27,0,0,0,0,0,0
G08000100085265,2012-2016,Colorado,8,Adams County,1,8526,"Block Group 5, Census Tract 85.26, Adams County, Colorado",1459,696,42,31,88,55,0,0,0,28,11,14,33,121,42,59,29,13,48,0,29,53,0,0,0,763,14,42,147,72,13,0,0,0,40,0,95,40,79,57,11,0,57,0,63,22,11,0,0
G08000100085291,2012-2016,Colorado,8,Adams County,1,8529,"Block Group 1, Census Tract 85.29, Adams County, Colorado",2265,1155,171,69,57,0,0,0,0,0,33,113,157,72,0,109,100,14,45,17,60,32,18,88,0,1110,64,90,35,15,0,0,0,0,133,91,112,16,16,91,79,44,33,63,49,20,142,17,0
G08000100085292,2012-2016,Colorado,8,Adams County,1,8529,"Block Group 2, Census Tract 85.29, Adams County, Colorado",2924,1397,155,39,61,94,10,0,0,115,87,83,75,146,85,154,49,44,24,28,0,98,0,17,33,1527,80,103,68,46,29,15,0,96,239,226,58,79,132,80,102,31,44,0,31,0,34,0,34
G08000100085293,2012-2016,Colorado,8,Adams County,1,8529,"Block Group 3, Census Tract 85.29, Adams County, Colorado",2307,1319,115,150,113,16,50,0,17,120,288,41,173,32,75,67,45,0,17,0,0,0,0,0,0,988,0,35,31,86,0,0,15,184,224,121,150,15,54,0,15,0,10,33,0,0,0,0,15
G08000100085331,2012-2016,Colorado,8,Adams County,1,8533,"Block Group 1, Census Tract 85.33, Adams County, Colorado",3705,1668,130,120,43,136,60,19,24,57,160,276,124,138,203,0,48,48,0,0,19,30,14,0,19,2037,248,267,158,60,0,91,0,18,285,144,304,61,103,122,62,12,58,0,14,14,0,16,0
G08000100085332,2012-2016,Colorado,8,Adams County,1,8533,"Block Group 2, Census Tract 85.33, Adams County, Colorado",4532,2299,65,337,185,54,56,0,12,147,225,360,228,124,176,108,57,0,21,14,52,48,0,19,11,2233,171,260,57,54,96,24,22,120,276,137,272,125,97,66,86,16,46,38,25,49,80,34,82
G08000100085341,2012-2016,Colorado,8,Adams County,1,8534,"Block Group 1, Census Tract 85.34, Adams County, Colorado",2094,1056,83,26,109,55,52,0,75,28,66,59,21,118,122,98,18,29,22,54,7,14,0,0,0,1038,35,86,91,55,23,0,15,88,67,80,8,107,142,101,8,19,45,26,36,6,0,0,0
G08000100085342,2012-2016,Colorado,8,Adams County,1,8534,"Block Group 2, Census Tract 85.34, Adams County, Colorado",1132,474,20,29,40,5,10,0,23,15,35,35,44,16,48,14,57,0,35,7,19,14,8,0,0,658,42,63,38,34,19,9,12,47,35,36,26,38,37,79,33,28,12,0,0,33,18,9,10
G08000100085343,2012-2016,Colorado,8,Adams County,1,8534,"Block Group 3, Census Tract 85.34, Adams County, Colorado",1521,805,66,100,86,16,6,9,0,11,78,96,39,123,46,45,30,25,8,10,5,0,6,0,0,716,89,50,24,85,0,0,20,18,42,117,7,66,56,69,53,5,8,7,0,0,0,0,0
G08000100085351,2012-2016,Colorado,8,Adams County,1,8535,"Block Group 1, Census Tract 85.35, Adams County, Colorado",3784,1924,239,285,91,123,26,0,14,47,55,193,281,217,56,78,47,23,34,18,39,23,29,6,0,1860,222,117,184,99,36,39,33,58,133,206,144,134,85,32,161,81,28,16,43,0,9,0,0
G08000100085361,2012-2016,Colorado,8,Adams County,1,8536,"Block Group 1, Census Tract 85.36, Adams County, Colorado",2797,1434,145,154,80,54,66,0,8,18,142,133,155,100,95,73,96,30,21,9,6,13,15,21,0,1363,173,96,65,51,33,0,0,8,136,134,130,62,86,96,139,26,34,9,12,31,13,16,13
G08000100085371,2012-2016,Colorado,8,Adams County,1,8537,"Block Group 1, Census Tract 85.37, Adams County, Colorado",6896,3383,415,283,220,132,135,19,78,107,265,254,233,295,300,218,83,69,67,28,65,84,7,9,17,3513,278,294,475,194,63,105,54,126,199,303,268,280,266,123,146,51,104,0,89,27,22,21,25
G08000100085381,2012-2016,Colorado,8,Adams County,1,8538,"Block Group 1, Census Tract 85.38, Adams County, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G08000100085382,2012-2016,Colorado,8,Adams County,1,8538,"Block Group 2, Census Tract 85.38, Adams County, Colorado",6517,3181,367,318,238,114,59,0,44,79,91,245,458,291,155,245,116,139,54,51,42,37,7,0,31,3336,431,331,336,92,45,9,0,19,176,401,344,272,186,208,171,49,87,46,40,54,28,0,11
G08000100085391,2012-2016,Colorado,8,Adams County,1,8539,"Block Group 1, Census Tract 85.39, Adams County, Colorado",9947,4983,759,541,662,148,26,0,8,56,405,542,458,432,438,130,114,31,60,109,8,33,0,0,23,4964,587,476,443,179,67,0,124,31,594,828,328,351,155,331,100,37,95,20,76,19,51,8,64
G08000100085401,2012-2016,Colorado,8,Adams County,1,8540,"Block Group 1, Census Tract 85.40, Adams County, Colorado",7319,3517,423,84,315,80,61,94,63,26,130,195,685,213,312,254,166,66,110,39,37,80,28,56,0,3802,439,552,246,149,14,83,0,94,143,436,327,280,233,300,141,27,46,116,81,38,42,15,0
G08000100085411,2012-2016,Colorado,8,Adams County,1,8541,"Block Group 1, Census Tract 85.41, Adams County, Colorado",4897,2377,90,89,94,82,33,12,10,76,94,95,102,232,332,186,225,120,103,69,146,111,37,21,18,2520,70,207,197,177,14,9,0,14,69,78,76,265,223,193,263,92,114,85,126,148,34,27,39
G08000100085421,2012-2016,Colorado,8,Adams County,1,8542,"Block Group 1, Census Tract 85.42, Adams County, Colorado",4374,2120,209,183,293,131,14,0,93,80,112,226,247,174,139,95,69,22,16,0,17,0,0,0,0,2254,255,440,83,106,33,0,0,86,242,186,212,169,118,129,50,9,46,45,0,0,45,0,0
G08000100085422,2012-2016,Colorado,8,Adams County,1,8542,"Block Group 2, Census Tract 85.42, Adams County, Colorado",3538,1812,49,212,151,105,113,0,52,0,35,44,211,245,93,186,118,35,56,15,33,41,0,0,18,1726,89,135,265,43,95,0,0,0,40,205,145,188,92,92,83,36,82,50,33,0,41,0,12
G08000100085431,2012-2016,Colorado,8,Adams County,1,8543,"Block Group 1, Census Tract 85.43, Adams County, Colorado",2749,1425,137,86,167,103,37,53,49,25,34,117,131,33,125,200,49,0,17,0,34,15,0,13,0,1324,121,175,75,57,0,0,0,0,38,162,81,110,91,154,58,25,0,16,0,88,14,14,45
G08000100085432,2012-2016,Colorado,8,Adams County,1,8543,"Block Group 2, Census Tract 85.43, Adams County, Colorado",1498,895,73,89,86,71,0,0,60,94,59,23,30,183,0,44,38,0,0,0,0,0,14,0,31,603,17,53,29,53,15,0,0,0,9,36,0,161,20,20,17,32,23,0,14,16,13,29,46
